Table 4:Imports by Commodities and Partner Countries : 		Based on First Month (Shrawan) of FY 2079/80 (Mid July 2022 to Mid August 2022)				
				(Import Value and Imports Revenue are in Rs. Thousands)		
HSCode	Description	Partner Countries	Unit	Quantity	Imports_Value	Imports_Revenue
09023000	Black tea(fermented) & partly fermented,wh  ther or not flavoured,in packings of	India	Kg	1	0	0
09024000	Black tea(fermented) and partly fermented,  hether or not flavoured,in packings o	China	Kg	12120	1392	1024
09024000	Black tea(fermented) and partly fermented,  hether or not flavoured,in packings o	India	Kg	37	195	113
09024000	Black tea(fermented) and partly fermented,  hether or not flavoured,in packings o	Myanmar	Kg	1	2	1
09024000	Black tea(fermented) and partly fermented,  hether or not flavoured,in packings o	Sri Lanka	Kg	1609	2596	1511
09024000	Black tea(fermented) and partly fermented,  hether or not flavoured,in packings o	Thailand	Kg	1	1	1
09024000	Black tea(fermented) and partly fermented,  hether or not flavoured,in packings o	Viet Nam	Kg	1	5	3
09041110	Dried pepper neither crushed nor ground	China	Kg	100	31	17
09041110	Dried pepper neither crushed nor ground	India	Kg	3000	528	289
09041210	Crushed or ground Pepper	India	Kg	885	1391	773
09041290	Dried pepper, crushed or ground	India	Kg	70	182	99
09042100	Dried, neither, crushed or ground piper & capsicum	India	Kg	483229	71948	16097
09042200	Crushed or ground piper & capsicum	China	Kg	450	21	5
09042200	Crushed or ground piper & capsicum	India	Kg	124486	31340	7027
09061100	Cinnamon (Cunnamomum zeylanicum Blume) - N either crushed nor ground	China	Kg	24000	6148	2258
09061100	Cinnamon (Cunnamomum zeylanicum Blume) - N either crushed nor ground	India	Kg	520	104	38
09061900	Other - Cinnamon & cinnamon tree flowers,  neither crushed nor ground	China	Kg	25000	6345	2331
09061900	Other - Cinnamon & cinnamon tree flowers,  neither crushed nor ground	India	Kg	300	60	22
09062000	Cinnamon and cinnamon-tree flowers, crushe d or ground	India	Kg	10756	4507	730
09071000	Cloves neither crushed nor ground .	India	Kg	13050	10642	1695
09081100	Nutmag neither crushed nor ground .	India	Kg	5840	2887	702
09081200	nutmag crushed or ground	India	Kg	7	17	4
09082100	Mace neither crushed nor ground	India	Kg	1105	633	154
09083120	Sukumel	Guatemala	Kg	20000	29666	7466
09083120	Sukumel	India	Kg	10005	16159	3859
09092100	Seeds of coriander neither crushed nor grou d	Bulgaria	Kg	250	123	23
09092100	Seeds of coriander neither crushed nor grou d	India	Kg	244285	38786	7251
09092100	Seeds of coriander neither crushed nor grou d	Indonesia	Kg	1	0	0
09092100	Seeds of coriander neither crushed nor grou d	Kazakstan	Kg	43800	4150	774
09092200	Seeds of coriander crushed or ground	India	Kg	12810	2098	392
09093100	Seeds of cumin neither crushed nor ground .	India	Kg	885313	227851	42358
09093200	Seeds of Cumin crushed or ground	India	Kg	4785	1661	310
09096100	Seeds of anisa,badian,caraway or fennel;jun iper berries Neither crushed nor groun [KGM	Bulgaria	Kg	500	629	117
09096100	Seeds of anisa,badian,caraway or fennel;jun iper berries Neither crushed nor groun [KGM	China	Kg	2000	640	120
09096100	Seeds of anisa,badian,caraway or fennel;jun iper berries Neither crushed nor groun [KGM	India	Kg	52477	10369	1934
09101110	Fresh Ginger nither crushed nor ground	India	Kg	1500	271	38
09101190	Other Ginger crushed or ground (sutho)	India	Kg	25766	5138	74
09101200	Other  Ginger crushed or ground	India	Kg	506	125	38
09102000	Saffron	India	Kg	30	1993	514
09102000	Saffron	Qatar	Kg	0	3	1
09102000	Saffron	Spain	Kg	1	220	67
09103020	Turmeric (dust or Powder) .	India	Kg	9500	2549	395
09103090	Other turmeric .	India	Kg	104480	14172	2197
09109100	Spice mixtures	India	Kg	149690	83502	24650
09109100	Spice mixtures	Malaysia	Kg	1	2	1
09109100	Spice mixtures	United States	Kg	1	3	1
09109910	Fenugreek(Methi) .	India	Kg	225075	21408	4021
09109990	Other spices nes .	Bangladesh	Kg	600	251	61
09109990	Other spices nes .	China	Kg	0	1	0
09109990	Other spices nes .	India	Kg	35112	4969	1145
10029000	Other rye	India	Kg	30	1	0
10039000	Other barley	India	Kg	31480	1421	71
10051000	Maize seed	Mexico	Kg	10	5	1
10059000	Maize (excl seed)	India	Kg	29134466	1112375	55653
10059000	Maize (excl seed)	United States	Kg	20884	2989	299
10061010	Seed of Paddy Rice	India	Kg	50	2	0
10061090	Others Paddy	India	Kg	6619701	195207	9775
10063010	Semi-milled or wholly milled rice, whether  or not polished or glazed	China	Kg	7175	300	42
10063010	Semi-milled or wholly milled rice, whether  or not polished or glazed	India	Kg	3637651	279417	32186
10063010	Semi-milled or wholly milled rice, whether  or not polished or glazed	United States	Kg	1081650	88841	0
10063090	Semi-milled or wholly milled rice, whether  or not polished or glazed	China	Kg	2375	96	12
10063090	Semi-milled or wholly milled rice, whether  or not polished or glazed	India	Kg	32071286	1702474	199430
10063090	Semi-milled or wholly milled rice, whether  or not polished or glazed	Singapore	Kg	0	1	0
10064000	Broken rice	India	Kg	5010170	159528	18731
10079000	Other grain sorghum (Junelo)	India	Kg	45	2	1
10081000	Buckwheat .	India	Kg	11900	809	61
10082100	Millet seed	India	Kg	153820	5041	378
10082900	Other  .	India	Kg	1357640	45375	3407
10089000	Other cereal, nes	India	Kg	500	166	31
11010000	Wheat or meslin flour except maida	India	Kg	132065	5436	1396
11022000	Maize (corn) flour	India	Kg	5000	216	25
11029000	Other cereal flour, nes	India	Kg	8103	346	37
11031110	Groats and meal of wheat  .	India	Kg	25000	1012	260
11031300	Groats and meal of maize (corn)	India	Kg	104020	5300	1361
11031900	Groats and meal of other cereals, nes	India	Kg	74500	3231	830
11041200	Rolled or flaked of oats grains	India	Kg	711	130	12
11042300	Other worked grains of maize (corn), nes	India	Kg	30000	1767	159
11042900	Other worked grains of other cereals, nes	China	Kg	1423	64	6
11043000	Cereal germ, whole, rolled, flaked or ground	India	Kg	9000	420	38
11051000	Potato flour, meal and powder	India	Kg	40	1	0
11052000	Potato flakes, granules and pellets	India	Kg	5615	753	202
11061000	Flour, meal and powder of the dried legumi  ous vegetables of 0713	India	Kg	16949	1731	777
11063000	Flour, meal and powder of products of chap  er 8	India	Kg	4526	987	443
11063000	Flour, meal and powder of products of chap  er 8	Viet Nam	Kg	18000	3343	1500
11071000	Malt not roasted .	Germany	Kg	37000	4710	1529
11071000	Malt not roasted .	India	Kg	1633050	150154	47595
11072000	Roasted malt	Germany	Kg	1500	240	78
11081200	Maize (corn) starch	India	Kg	812449	48628	8798
11081300	Potato starch .	India	Kg	2000	247	60
11081400	Manioc (cassava) starch	India	Kg	27070	2200	528
11081400	Manioc (cassava) starch	Italy	Kg	4000	557	135
11081900	Other starches, nes	India	Kg	30	1	0
11090000	Wheat gluten	China	Kg	110000	26914	5020
11090000	Wheat gluten	India	Kg	275	75	14
12019000	Other soyabean .	Canada	Kg	2310386	220443	11022
12019000	Other soyabean .	China	Kg	23000	4094	409
12019000	Other soyabean .	India	Kg	397378	39196	3528
12019000	Other soyabean .	Mozambique	Kg	350000	42011	4201
12019000	Other soyabean .	United States	Kg	9166184	924422	46223
12024100	Groundnut In shell	India	Kg	32594	2878	259
12024200	Groundnut shelled, whether or not broken	China	Kg	246	21	3
12024200	Groundnut shelled, whether or not broken	India	Kg	452286	59301	5339
12040000	Linseed	India	Kg	24020	2030	493
12051000	Low erucic acid rape or colza seeds	Australia	Kg	4685330	631987	117867
12051000	Low erucic acid rape or colza seeds	India	Kg	195	13	3
12051000	Low erucic acid rape or colza seeds	Ukraine	Kg	2022240	271901	50710
12060000	Sunflower seeds	China	Kg	1111	158	37
12074000	Sesamum seeds  .	India	Kg	180165	19481	4515
12075000	Mustards seeds	India	Kg	548435	50319	10519
12077000	Melon seeds	India	Kg	4000	830	202
12081000	Soya bean flour and meal .	India	Kg	1500	208	39
12092900	Other seeds of forage plants, of a kind us ed for sowing, nes	India	Kg	0	2	0
12092900	Other seeds of forage plants, of a kind us ed for sowing, nes	Switzerland	Kg	0	1	0
12093000	Seeds of herbaceous plants, of a kind used  for sowing	Chile	Kg	0	171	0
12093000	Seeds of herbaceous plants, of a kind used  for sowing	China	Kg	2	585	0
12093000	Seeds of herbaceous plants, of a kind used  for sowing	Costa Rica	Kg	1	1098	0
12093000	Seeds of herbaceous plants, of a kind used  for sowing	Germany	Kg	1	115	0
12093000	Seeds of herbaceous plants, of a kind used  for sowing	Guatemala	Kg	0	77	0
12093000	Seeds of herbaceous plants, of a kind used  for sowing	Indonesia	Kg	0	64	0
12093000	Seeds of herbaceous plants, of a kind used  for sowing	Kenya	Kg	0	36	0
12093000	Seeds of herbaceous plants, of a kind used  for sowing	Netherlands	Kg	0	24	0
12093000	Seeds of herbaceous plants, of a kind used  for sowing	United States	Kg	0	3	0
12099110	Seed of Cauliflower	Chile	Kg	504	13663	137
12099110	Seed of Cauliflower	India	Kg	5	142	1
12099110	Seed of Cauliflower	Japan	Kg	340	13084	131
12099110	Seed of Cauliflower	Taiwan, Province of China	Kg	252	5900	59
12099120	Seed of Cabbage	Japan	Kg	100	1309	13
12099120	Seed of Cabbage	United States	Kg	325	7288	73
12099150	Seed of Tomato	China	Kg	10	21	0
12099150	Seed of Tomato	India	Kg	15	460	5
12099150	Seed of Tomato	Taiwan, Province of China	Kg	0	11	1
12099190	Seed of other vegetables	Chile	Kg	2082	32622	327
12099190	Seed of other vegetables	India	Kg	41491	24901	297
12099190	Seed of other vegetables	Japan	Kg	61	2647	27
12099190	Seed of other vegetables	Korea, Republic of	Kg	47	1777	18
12099190	Seed of other vegetables	Thailand	Kg	5750	6767	68
12099190	Seed of other vegetables	United States	Kg	112	1838	18
12102000	Hop cones, ground, powdered or in pellets; lupulin	Germany	Kg	8006	13226	3545
12112000	Ginseng roots, of a kind used in perfumery   pharmacy etc	Pakistan	Kg	10000	2296	287
12119090	Other plants or parts, of a kind used in p erfumery, pharmacy etc, nes	Bulgaria	Kg	100	144	18
12119090	Other plants or parts, of a kind used in p erfumery, pharmacy etc, nes	China	Kg	25	123	15
12119090	Other plants or parts, of a kind used in p erfumery, pharmacy etc, nes	India	Kg	80572	21157	1588
12119090	Other plants or parts, of a kind used in p erfumery, pharmacy etc, nes	Malaysia	Kg	54000	3400	425
12119090	Other plants or parts, of a kind used in p erfumery, pharmacy etc, nes	Pakistan	Kg	75221	15178	1898
12122900	Other seaweeds	Taiwan, Province of China	Kg	1	1	0
12129300	Sugar cane	India	Kg	58050	906	104
12130000	Cereal straw and husks	India	Kg	80335	658	123
