,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,yearHigh,yearLow,totalTradedVolume,totalTradedValue,lastUpdateTime,perChange365d,perChange30d
209,TTMLEQN,76.5,83.25,76.5,82.7,75.7,7.0,9.25,149.0,49.65,22921756,1860558934.52,22-Aug-2023 15:59:58,-28.31,-8.35
210,ADANIPOWEREQN,333.5,349.9,331.0,349.9,324.85,25.05,7.71,432.5,132.4,36573300,12461986242.0,22-Aug-2023 15:59:58,-21.14,34.37
211,TRIDENTEQN,36.4,38.2,36.1,37.35,35.7,1.65,4.62,41.9,25.05,152507432,5706828105.440001,22-Aug-2023 15:59:57,-7.03,7.37
212,POONAWALLAEQN,421.05,441.85,421.0,439.3,420.4,18.9,4.5,451.5,243.0,2337994,1011790283.4399999,22-Aug-2023 15:59:58,47.9,12.03
213,TORNTPOWEREQN,636.45,672.45,636.45,661.9,636.0,25.9,4.07,748.85,430.85,1352394,897124083.84,22-Aug-2023 15:59:43,8.46,3.7199999999999998
214,SONACOMSEQN,596.9,616.35,593.15,612.0,590.9,21.1,3.5700000000000003,616.35,398.05,3295859,1994456115.26,22-Aug-2023 15:59:53,13.45,3.29
215,L&TFHEQN,120.15,125.8,119.8,123.8,120.05,3.75,3.12,140.2,72.0,7781781,957859423.2900001,22-Aug-2023 15:59:49,58.69,-7.26
216,MAXHEALTHEQN,551.0,570.0,548.5,568.05,551.0,17.05,3.09,630.0,365.75,1524899,860302268.8299999,22-Aug-2023 15:58:12,45.4,-8.59
217,PAYTMEQN,844.55,861.95,842.75,858.0,837.95,20.05,2.39,914.95,438.35,1890624,1618752268.8000002,22-Aug-2023 15:59:35,8.53,-0.75
218,WHIRLPOOLEQN,1595.9,1632.0,1579.0,1632.0,1595.5,36.5,2.29,1863.0,1217.25,108416,175074493.44,22-Aug-2023 15:58:20,-13.22,10.21
219,CROMPTONEQN,294.85,298.6,290.7,298.0,291.85,6.15,2.11,429.0,251.0,1424534,421291685.16,22-Aug-2023 15:53:03,-26.29,0.34
220,DIXONEQN,4940.0,5035.0,4886.95,4986.3,4893.75,92.55,1.8900000000000001,5035.0,2553.0,948055,4717739732.65,22-Aug-2023 15:59:28,22.65,17.18
221,DALBHARATEQN,1933.9,1956.0,1914.0,1954.0,1919.75,34.25,1.78,2288.8,1476.05,257848,500578371.76,22-Aug-2023 15:47:56,18.79,-0.07
222,FORTISEQN,323.0,327.2,321.35,326.6,322.0,4.6,1.43,352.5,245.5,1031438,336455075.59999996,22-Aug-2023 15:52:28,7.78,-3.94
223,PRESTIGEEQN,560.7,569.2,557.95,565.0,557.8,7.2,1.29,616.2,391.0,341327,192924846.94,22-Aug-2023 15:50:20,22.58,2.84
224,FLUOROCHEMEQN,2843.6,2881.0,2824.65,2865.0,2828.7,36.3,1.28,4173.95,2534.05,73540,209474277.6,22-Aug-2023 15:55:41,-19.91,1.8
225,IGLEQN,439.85,443.75,436.2,442.95,438.7,4.25,0.97,515.7,364.25,971212,428984340.4,22-Aug-2023 15:56:48,4.93,-11.25
226,ABFRLEQN,217.85,221.0,216.45,219.05,217.15,1.9,0.87,359.5,184.4,1688386,369503276.09999996,22-Aug-2023 15:59:55,-23.54,1.9
227,GLANDEQN,1597.0,1625.0,1596.95,1602.3,1589.85,12.45,0.78,2607.0,861.0,228887,367365923.87,22-Aug-2023 15:59:44,-34.07,28.67
228,NAVINFLUOREQN,4462.65,4510.0,4454.1,4495.0,4462.65,32.35,0.72,4950.0,3764.8,110271,495532511.6700001,22-Aug-2023 15:45:48,3.91,1.73
229,MANKINDEQN,1850.0,1876.4,1825.0,1850.0,1837.45,12.55,0.68,1949.0,1242.0,227294,420589363.48,22-Aug-2023 15:59:45,-,-3.26
230,DEVYANIEQN,195.05,197.5,194.0,196.1,194.85,1.25,0.64,204.8,133.95,1175109,230133346.56,22-Aug-2023 15:58:37,-1.76,-1.62
231,DELHIVERYEQN,407.85,414.05,406.15,409.9,407.4,2.5,0.61,608.7,291.0,890675,364891734.0,22-Aug-2023 15:59:20,-28.5,0.34
